# source: http://www.linguistics.ucla.edu/people/hayes/ShakespeareAndMilton/
# author: milton
# title: paradise lost, books 8, 9.
# coder: bruce hayes
1	syllables	NO more of talk where God or Angel Guest	NO	more	of	talk	where	God	or	An	gel	Guest	
1240	syllables	Because not yet inflicted, as he fear'd,	Be	cause	not	yet	inf	lic	ted,	as	he	fear'd,	
1240	stress	Because not yet inflicted, as he fear'd,	1	2	1	2	1	4	1	1	1	3	
1240	juncture	Because not yet inflicted, as he fear'd,	1	2	2	2	1	1	5	2	2	5	
1240	comment	Because not yet inflicted, as he fear'd,											
1241	syllables	By some immediate stroak; but soon shall find	By	some	im	me	di ate	stroak;	but	soon	shall	find	
1241	stress	By some immediate stroak; but soon shall find	1	1	1	3	1	4	1	3	1	3	
1241	juncture	By some immediate stroak; but soon shall find	2	2	1	1	3	5	2	3	2	3	
1241	comment	By some immediate stroak; but soon shall find											
1242	syllables	Forbearance no acquittance ere day end.	For	bea	rance	no	ac	quit	tance	ere	day	end.	
1242	stress	Forbearance no acquittance ere day end.	1	3	1	1	1	3	1	1	3	4	
1242	juncture	Forbearance no acquittance ere day end.	1	1	5	2	1	1	5	3	4	5	
1242	comment	Forbearance no acquittance ere day end.											
1243	syllables	Justice shall not return as bountie scorn'd.	Jus	tice	shall	not	re	turn	as	boun	tie	scorn'd.	
1243	stress	Justice shall not return as bountie scorn'd.	3	1	1	1	1	3	1	3	1	4	
1243	juncture	Justice shall not return as bountie scorn'd.	1	4	2	2	1	3	2	1	4	5	
1243	comment	Justice shall not return as bountie scorn'd.											
1244	syllables	But whom send I to judge them? whom but thee	But	whom	send	I	to	judge	them?	whom	but	thee	
1244	stress	But whom send I to judge them? whom but thee	1	2	3	1	1	4	1	2	1	4	
1244	juncture	But whom send I to judge them? whom but thee	2	2	3	2	2	2	5	2	2	5	
1244	comment	But whom send I to judge them? whom but thee											
1245	syllables	Vicegerent Son, to thee I have transferr'd	Vice	ge	rent	Son,	to	thee	I	have	trans	ferr'd	
1245	stress	Vicegerent Son, to thee I have transferr'd	2	3	1	4	1	3	1	1	1	3	
1245	juncture	Vicegerent Son, to thee I have transferr'd	2	1	3	5	2	4	2	2	1	3	
1245	comment	Vicegerent Son, to thee I have transferr'd											
1246	syllables	All Judgement whether in Heav'n, or Earth, or Hell.	All	Judge	ment	whe	ther in	Heav'n,	or	Earth,	or	Hell.	
1246	stress	All Judgement whether in Heav'n, or Earth, or Hell.	2	3	1	2	1	4	1	4	1	4	
1246	juncture	All Judgement whether in Heav'n, or Earth, or Hell.	2	1	4	1	2	5	2	5	2	5	
1246	comment	All Judgement whether in Heav'n, or Earth, or Hell.											
1247	syllables	Easie it might be seen that I intend	Ea	sie	it	might	be	seen	that	I	in	tend	
1247	stress	Easie it might be seen that I intend	3	1	1	1	1	3	1	1	1	3	
1247	juncture	Easie it might be seen that I intend	1	4	2	2	2	4	2	2	1	3	
1247	comment	Easie it might be seen that I intend											
1248	syllables	Mercie collegue with Justice, sending thee	Mer	cie	col	legue	with	Jus	tice,	sen	ding	thee	
1248	stress	Mercie collegue with Justice, sending thee	4	1	1	3	1	4	1	3	1	1	
1248	juncture	Mercie collegue with Justice, sending thee	1	3	1	3	2	1	5	1	2	4	
1248	comment	Mercie collegue with Justice, sending thee	collegue in Milton: hapax WS, OED says SW.  BH I'm reluctant to accept initial stress; given the overheavy final syllable.  Not found in Shakspeare.										
1249	syllables	Mans Friend his Mediator, his design'd	Mans	Friend	his	Me	di	a	tor,	his	de	sign'd	
1249	stress	Mans Friend his Mediator, his design'd	3	4	1	4	1	2	1	1	1	3	
1249	juncture	Mans Friend his Mediator, his design'd	4	4	2	1	1	1	5	2	1	4	
1249	comment	Mans Friend his Mediator, his design'd											
1250	syllables	Both Ransom and Redeemer voluntarie,	Both	Ran	som	and	Re	dee	mer	vo	lun	ta	rie,
1250	stress	Both Ransom and Redeemer voluntarie,	1	3	1	1	1	3	1	4	1	2	1
1250	juncture	Both Ransom and Redeemer voluntarie,	3	1	4	2	1	1	3	1	1	1	5
1250	comment	Both Ransom and Redeemer voluntarie,											
1251	syllables	And destin'd Man himself to judge Man fall'n.	And	des	tin'd	Man	him	self	to	judge	Man	fall' n.	
1251	stress	And destin'd Man himself to judge Man fall'n.	1	3	1	3	1	4	1	3	3	4	
1251	juncture	And destin'd Man himself to judge Man fall'n.	2	1	3	3	1	4	2	3	3	5	
1251	comment	And destin'd Man himself to judge Man fall'n.											
1252	syllables	So spake the Father, and unfoulding bright	So	spake	the	Fa	ther,	and	un	foul	ding	bright	
1252	stress	So spake the Father, and unfoulding bright	2	3	1	4	1	1	1	3	1	3	
1252	juncture	So spake the Father, and unfoulding bright	2	3	2	1	5	2	1	1	3	4	
1252	comment	So spake the Father, and unfoulding bright											
1253	syllables	Toward the right hand his Glorie, on the Son	To ward	the	right	hand	his	Glo	rie,	on	the	Son	
1253	stress	Toward the right hand his Glorie, on the Son	1	1	3	4	1	4	1	1	1	3	
1253	juncture	Toward the right hand his Glorie, on the Son	3	2	3	4	2	1	5	2	2	4	
1253	comment	Toward the right hand his Glorie, on the Son											
1254	syllables	Blaz'd forth unclouded Deitie; he full	Blaz'd	forth	un	clou	ded	De	i	tie;	he	full	
1254	stress	Blaz'd forth unclouded Deitie; he full	3	4	1	3	1	4	1	1	1	3	
1254	juncture	Blaz'd forth unclouded Deitie; he full	3	4	1	1	3	1	1	5	2	3	
1254	comment	Blaz'd forth unclouded Deitie; he full											
1255	syllables	Resplendent all his Father manifest	Res	plen	dent	all	his	Fa	ther	ma	ni	fest	
1255	stress	Resplendent all his Father manifest	1	3	1	1	1	3	1	3	1	1	
1255	juncture	Resplendent all his Father manifest	1	1	4	2	2	1	4	1	1	4	
1255	comment	Resplendent all his Father manifest											
1256	syllables	Express'd, and thus divinely answer'd milde.	Ex	press'd,	and	thus	di	vine	ly	ans	wer'd	milde.	
1256	stress	Express'd, and thus divinely answer'd milde.	1	4	1	1	1	3	1	3	1	4	
1256	juncture	Express'd, and thus divinely answer'd milde.	1	5	2	2	1	1	3	1	3	5	
1256	comment	Express'd, and thus divinely answer'd milde.											
1257	syllables	Father Eternal, thine is to decree,	Fa	ther	E	ter	nal,	thine	is	to	de	cree,	
1257	stress	Father Eternal, thine is to decree,	3	1	1	4	1	2	1	1	1	4	
1257	juncture	Father Eternal, thine is to decree,	1	3	1	1	5	4	2	2	1	5	
1257	comment	Father Eternal, thine is to decree,											
1258	syllables	Mine both in Heav'n and Earth to do thy will	Mine	both	in	Heav'n	and	Earth	to	do	thy	will	
1258	stress	Mine both in Heav'n and Earth to do thy will	2	3	1	3	1	3	1	3	1	3	
1258	juncture	Mine both in Heav'n and Earth to do thy will	4	3	2	4	2	4	2	3	2	3	
1258	comment	Mine both in Heav'n and Earth to do thy will											
1259	syllables	Supream, that thou in mee thy Son belov'd	Su	pream,	that	thou	in	mee	thy	Son	be	lov'd	
1259	stress	Supream, that thou in mee thy Son belov'd	1	4	1	1	1	3	1	3	1	4	
1259	juncture	Supream, that thou in mee thy Son belov'd	1	5	2	2	2	4	2	3	1	4	
1259	comment	Supream, that thou in mee thy Son belov'd											
1260	syllables	Mayst ever rest well pleas'd. I go to judge	Mayst	e	ver	rest	well	pleas'd.	I	go	to	judge	
1260	stress	Mayst ever rest well pleas'd. I go to judge	1	3	1	3	2	4	1	3	1	4	
1260	juncture	Mayst ever rest well pleas'd. I go to judge	2	1	3	3	3	5	2	3	2	3	
1260	comment	Mayst ever rest well pleas'd. I go to judge	BA										
1261	syllables	On Earth these thy transgressors, but thou knowst,	On	Earth	these	thy	trans	gres	sors,	but	thou	knowst,	
1261	stress	On Earth these thy transgressors, but thou knowst,	1	3	2	1	1	4	1	1	1	4	
1261	juncture	On Earth these thy transgressors, but thou knowst,	2	4	3	2	1	1	5	2	2	5	
1261	comment	On Earth these thy transgressors, but thou knowst,											
1262	syllables	Whoever judg'd, the worst on mee must light,	Who	e	ver	judg'd,	the	worst	on	mee	must	light,	
1262	stress	Whoever judg'd, the worst on mee must light,	1	3	1	4	1	3	1	3	1	4	
1262	juncture	Whoever judg'd, the worst on mee must light,	1	1	3	5	2	4	2	4	2	5	
1262	comment	Whoever judg'd, the worst on mee must light,											
1263	syllables	When time shall be, for so I undertook	When	time	shall	be,	for	so	I	un	der	took	
1263	stress	When time shall be, for so I undertook	1	3	1	4	1	1	1	2	1	3	
1263	juncture	When time shall be, for so I undertook	2	4	2	5	2	2	2	1	1	3	
1263	comment	When time shall be, for so I undertook											
1264	syllables	Before thee; and not repenting, this obtaine	Be	fore	thee; and	not	re	pen	ting,	this	ob	taine	
1264	stress	Before thee; and not repenting, this obtaine	1	4	1	1	1	4	1	1	1	3	
1264	juncture	Before thee; and not repenting, this obtaine	1	2	2	2	1	1	5	2	1	3	
1264	comment	Before thee; and not repenting, this obtaine											
1265	syllables	Of right, that I may mitigate thir doom	Of	right,	that	I	may	mi	ti	gate	thir	doom	
1265	stress	Of right, that I may mitigate thir doom	1	4	1	1	1	3	1	1	1	4	
1265	juncture	Of right, that I may mitigate thir doom	2	5	2	2	2	1	1	3	2	4	
1265	comment	Of right, that I may mitigate thir doom											
1266	syllables	On me deriv'd, yet I shall temper so	On	me	de	riv'd,	yet	I	shall	tem	per	so	
1266	stress	On me deriv'd, yet I shall temper so	1	3	1	4	1	1	1	3	1	1	
1266	juncture	On me deriv'd, yet I shall temper so	2	3	1	5	2	2	2	1	3	4	
1266	comment	On me deriv'd, yet I shall temper so											
1267	syllables	Justice with Mercie, as may illustrate most	Jus	tice	with	Mer	cie, as	may	il	lus	trate	most	
1267	stress	Justice with Mercie, as may illustrate most	3	1	1	4	1	1	1	3	1	3	
1267	juncture	Justice with Mercie, as may illustrate most	1	4	2	1	2	2	1	1	3	4	
1267	comment	Justice with Mercie, as may illustrate most	Illustrate in Milton:  1 line initial, 2 WSW										
1268	syllables	Them fully satisfied, and thee appease.	Them	ful	ly	sa	tis	fied,	and	thee	ap	pease.	
1268	stress	Them fully satisfied, and thee appease.	1	3	1	4	1	1	1	1	1	4	
1268	juncture	Them fully satisfied, and thee appease.	3	1	3	1	1	5	2	3	1	5	
1268	comment	Them fully satisfied, and thee appease.											
1269	syllables	Attendance none shall need, nor Train, where none	At	ten	dance	none	shall	need,	nor	Train,	where	none	
1269	stress	Attendance none shall need, nor Train, where none	1	3	1	3	1	4	1	4	1	3	
1269	juncture	Attendance none shall need, nor Train, where none	1	1	4	3	2	5	2	5	2	4	
1269	comment	Attendance none shall need, nor Train, where none											
1270	syllables	Are to behold the Judgement, but the judg'd,	Are	to	be	hold	the	Judge	ment,	but	the	judg'd,	
1270	stress	Are to behold the Judgement, but the judg'd,	1	1	1	3	1	4	1	1	1	4	
1270	juncture	Are to behold the Judgement, but the judg'd,	2	2	1	3	2	1	5	2	2	5	
1270	comment	Are to behold the Judgement, but the judg'd,											
1271	syllables	Those two; the third best absent is condemn'd,	Those	two;	the	third	best	ab	sent	is	con	demn'd,	
1271	stress	Those two; the third best absent is condemn'd,	1	4	1	3	2	4	1	1	1	3	
1271	juncture	Those two; the third best absent is condemn'd,	2	5	2	4	3	1	4	2	1	5	
1271	comment	Those two; the third best absent is condemn'd,	BA/ Absent in Milton:  as verb: 2 WS; as adjective: 7 SW.										
1272	syllables	Convict by flight, and Rebel to all Law	Con	vict	by	flight,	and	Re	bel	to	all	Law	
1272	stress	Convict by flight, and Rebel to all Law	1	3	1	4	1	3	1	1	1	4	
1272	juncture	Convict by flight, and Rebel to all Law	1	3	2	5	2	1	3	2	2	3	
1272	comment	Convict by flight, and Rebel to all Law											
1273	syllables	Conviction to the Serpent none belongs.	Con	vic	tion	to	the	Ser	pent	none	be	longs.	
1273	stress	Conviction to the Serpent none belongs.	1	3	1	1	1	3	1	3	1	4	
1273	juncture	Conviction to the Serpent none belongs.	1	1	3	2	2	1	4	4	1	5	
1273	comment	Conviction to the Serpent none belongs.											
1274	syllables	Thus saying, from his radiant Seat he rose	Thus	sa	ying,	from	his	ra	di ant	Seat	he	rose	
1274	stress	Thus saying, from his radiant Seat he rose	1	4	1	1	1	3	1	4	1	3	
1274	juncture	Thus saying, from his radiant Seat he rose	2	1	5	2	2	1	3	4	2	4	
1274	comment	Thus saying, from his radiant Seat he rose											
1275	syllables	Of high collateral glorie: him Thrones and Powers,	Of	high	col	la	te ral	glo	rie: him	Thrones	and	Po wers,	
1275	stress	Of high collateral glorie: him Thrones and Powers,	1	3	1	3	1	4	1	3	1	4	
1275	juncture	Of high collateral glorie: him Thrones and Powers,	2	3	1	1	3	1	3	4	2	5	
1275	comment	Of high collateral glorie: him Thrones and Powers,											
1276	syllables	Princedoms, and Dominations ministrant	Prince	doms,	and	Do	mi	na	tions	mi	nis	trant	
1276	stress	Princedoms, and Dominations ministrant	4	1	1	2	1	3	1	4	1	1	
1276	juncture	Princedoms, and Dominations ministrant	1	5	2	1	1	1	3	1	1	4	
1276	comment	Princedoms, and Dominations ministrant											
1277	syllables	Accompanied to Heaven Gate, from whence	Ac	com	pa	nied	to	Hea	ven	Gate,	from	whence	
1277	stress	Accompanied to Heaven Gate, from whence	1	3	1	1	1	3	1	4	1	1	
1277	juncture	Accompanied to Heaven Gate, from whence	1	1	1	3	2	1	3	5	2	4	
1277	comment	Accompanied to Heaven Gate, from whence											
1278	syllables	Eden and all the Coast in prospect lay.	E	den	and	all	the	Coast	in	pros	pect	lay.	
1278	stress	Eden and all the Coast in prospect lay.	3	1	1	1	1	4	1	3	1	4	
1278	juncture	Eden and all the Coast in prospect lay.	1	4	2	2	2	4	2	1	4	5	
1278	comment	Eden and all the Coast in prospect lay.											
1279	syllables	Down he descended strait; the speed of Gods	Down	he	des	cen	ded	strait;	the	speed	of	Gods	
1279	stress	Down he descended strait; the speed of Gods	3	1	1	3	1	4	1	3	1	4	
1279	juncture	Down he descended strait; the speed of Gods	3	2	1	1	3	5	2	3	2	4	
1279	comment	Down he descended strait; the speed of Gods											
1280	syllables	Time counts not, though with swiftest minutes wing'd.	Time	counts	not,	though	with	swif	test	mi	nutes	wing'd.	
1280	stress	Time counts not, though with swiftest minutes wing'd.	3	4	1	1	1	3	1	3	1	4	
1280	juncture	Time counts not, though with swiftest minutes wing'd.	4	2	5	2	2	1	3	1	4	5	
1280	comment	Time counts not, though with swiftest minutes wing'd.											
1281	syllables	Now was the Sun in Western cadence low	Now	was	the	Sun	in	Wes	tern	ca	dence	low	
1281	stress	Now was the Sun in Western cadence low	3	1	1	3	1	3	1	4	1	3	
1281	juncture	Now was the Sun in Western cadence low	3	2	2	4	2	1	3	1	4	3	
1281	comment	Now was the Sun in Western cadence low											
1282	syllables	From Noon, and gentle Aires due at thir hour	From	Noon,	and	gent	le	Aires	due	at	thir	hour	
1282	stress	From Noon, and gentle Aires due at thir hour	1	4	1	3	1	4	3	1	1	3	
1282	juncture	From Noon, and gentle Aires due at thir hour	2	5	2	1	3	4	3	2	2	4	
1282	comment	From Noon, and gentle Aires due at thir hour											
1283	syllables	To fan the Earth now wak'd, and usher in	To	fan	the	Earth	now	wak'd,	and	ush	er	in	
1283	stress	To fan the Earth now wak'd, and usher in	1	3	1	4	3	4	1	3	1	3	
1283	juncture	To fan the Earth now wak'd, and usher in	2	3	2	4	3	5	2	1	2	3	
1283	comment	To fan the Earth now wak'd, and usher in											
1284	syllables	The Eevning coole, when he from wrauth more coole	The	Eev	ning	coole,	when	he	from	wrauth	more	coole	
1284	stress	The Eevning coole, when he from wrauth more coole	1	3	1	4	1	1	1	3	4	3	
1284	juncture	The Eevning coole, when he from wrauth more coole	2	1	3	5	2	2	2	4	2	4	
1284	comment	The Eevning coole, when he from wrauth more coole											
1285	syllables	Came the mild Judge and Intercessor both	Came	the	mild	Judge	and	In	ter	ces	sor	both	
1285	stress	Came the mild Judge and Intercessor both	3	1	3	3	1	2	1	3	1	4	
1285	juncture	Came the mild Judge and Intercessor both	3	2	3	4	2	1	1	1	3	4	
1285	comment	Came the mild Judge and Intercessor both											
1286	syllables	To sentence Man: the voice of God they heard	To	sen	tence	Man:	the	voice	of	God	they	heard	
1286	stress	To sentence Man: the voice of God they heard	1	3	1	4	1	3	1	3	1	4	
1286	juncture	To sentence Man: the voice of God they heard	2	1	3	5	2	3	2	4	2	4	
1286	comment	To sentence Man: the voice of God they heard											
1287	syllables	Now walking in the Garden, by soft windes	Now	wal	king	in	the	Gar	den,	by	soft	windes	
1287	stress	Now walking in the Garden, by soft windes	2	3	1	1	1	4	1	1	3	4	
1287	juncture	Now walking in the Garden, by soft windes	3	1	3	2	2	1	5	2	3	4	
1287	comment	Now walking in the Garden, by soft windes											
1288	syllables	Brought to thir Ears, while day declin'd, they heard,	Brought	to	thir	Ears,	while	day	de	clin'd,	they	heard,	
1288	stress	Brought to thir Ears, while day declin'd, they heard,	3	1	1	4	1	3	1	4	1	4	
1288	juncture	Brought to thir Ears, while day declin'd, they heard,	3	2	2	5	2	4	1	5	2	5	
1288	comment	Brought to thir Ears, while day declin'd, they heard,											
1289	syllables	And from his presence hid themselves among	And	from	his	pre	sence	hid	them	selves	a	mong	
1289	stress	And from his presence hid themselves among	1	1	1	3	1	4	1	3	1	2	
1289	juncture	And from his presence hid themselves among	2	2	2	1	4	2	1	4	1	2	
1289	comment	And from his presence hid themselves among											
1290	syllables	The thickest Trees, both Man and Wife, till God	The	thic	kest	Trees,	both	Man	and	Wife,	till	God	
1290	stress	The thickest Trees, both Man and Wife, till God	1	3	1	4	1	3	1	4	1	3	
1290	juncture	The thickest Trees, both Man and Wife, till God	2	1	3	5	3	4	2	5	2	4	
1290	comment	The thickest Trees, both Man and Wife, till God											
1291	syllables	Approaching, thus to Adam call'd aloud.	Ap	proa	ching,	thus	to	A	dam	call'd	a	loud.	
1291	stress	Approaching, thus to Adam call'd aloud.	1	4	1	2	1	3	1	3	1	4	
1291	juncture	Approaching, thus to Adam call'd aloud.	1	1	5	3	2	1	4	3	1	5	
1291	comment	Approaching, thus to Adam call'd aloud.											
1292	syllables	Where art thou Adam, wont with joy to meet	Where	art	thou	A	dam,	wont	with	joy	to	meet	
1292	stress	Where art thou Adam, wont with joy to meet	1	4	1	3	1	3	1	3	1	3	
